,Homosexuality,Gay Marriage,Censorship,Changing Gender,Gender-Affirming Care,Non-Binary Gender Recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Intersex Infant Surgery,Military,Donating Blood,Conversion Therapy,Age of Consent
seychelles,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
south-africa,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
australia,✔ Legal,✔ Legal,✔ No censorship,Varies by Region,✔ Legal,✔ Recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,Varies by Region,✔ Legal,✖ Banned (less than 6-month deferral),Varies by Region,✔ Equal
federated-states-of-micronesia,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,Unknown,Unknown,N/A,Unknown,✖ Not banned,✔ Equal
fiji,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✖ No protections,✖ Illegal,Unknown,✔ Legal,✖ Banned (indefinite deferral),✖ Sexual orientation only,✔ Equal
marshall-islands,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
nauru,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Sexual orientation only,✔ Equal
new-zealand,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✔ Legal,✖ Not banned,✔ Legal,✖ Banned (less than 6-month deferral),✔ Banned,✔ Equal
palau,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
vanuatu,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
argentina,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✖ Illegal in some contexts,✖ Gender identity only,Varies by Region,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✔ Banned,✔ Equal
bolivia,✔ Legal,✔ Civil unions (marriage rights),✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Married couples only,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
brazil,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Intersex only,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Full ban,✔ Legal,✔ Legal,✔ Banned,✔ Equal
chile,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Full ban,✔ Legal,✔ Legal,✔ Banned,✔ Equal
colombia,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Parental approval required,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
ecuador,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✖ No protections,✖ Single only,✖ Not banned,✔ Legal,✔ Legal,✔ Banned,✔ Equal
paraguay,✔ Legal,✖ Banned,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Illegal,✖ Not banned,✔ Legal,✔ Legal,✔ Banned,✖ Unequal
peru,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✖ Not banned,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal with restrictions,✔ Banned,✔ Equal
suriname,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✖ Unequal
uruguay,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Full ban,✔ Legal,✔ Legal,✔ Banned,✔ Equal
venezuela,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✖ Single only,✖ Not banned,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
