   Dem. People's Republic of Korea,34 103,35 143,36 183,40 097,44 010,48 458,49 549,17 393,17 562,17 731,19 749,21 766,24 110,24 654,16 710,17 581,18 452,20 348,22 244,24 348,24 895
   Japan,1 075 317,1 362 371,1 686 444,2 011 555,2 134 151,2 232 189,2 770 996,538 765,680 212,796 928,931 198,972 481,1 050 070,1 347 156,536 552,682 159,889 516,1 080 357,1 161 670,1 182 119,1 423 840
   Mongolia,6 718,7 424,8 206,11 477,16 062,19 886,21 345,3 419,3 959,4 564,7 577,11 880,13 284,14 263,3 299,3 465,3 642,3 900,4 182,6 602,7 082
   Republic of Korea,43 247,123 886,244 224,486 065,919 987,1 370 905,1 728 182,24 349,70 758,143 212,284 305,515 503,760 957,958 365,18 898,53 128,101 012,201 760,404 484,609 948,769 817
   Brunei Darussalam,73 200,84 748,96 296,98 441,100 587,102 733,111 959,41 856,47 832,53 807,55 265,56 723,58 181,63 407,31 344,36 916,42 489,43 176,43 864,44 552,48 552
   Cambodia,38 375,92 230,146 085,114 096,82 028,73 962,79 341,19 084,45 361,71 638,57 545,43 412,39 854,42 730,19 291,46 869,74 447,56 551,38 616,34 108,36 611
   Indonesia,465 612,378 960,292 307,289 310,307 487,338 124,355 505,229 885,191 600,153 315,165 287,176 522,196 717,206 538,235 727,187 360,138 992,124 023,130 965,141 407,148 967
   Lao People's Democratic Republic,22 866,23 526,21 948,20 371,32 955,45 538,48 731,11 806,12 199,11 564,10 930,20 133,29 335,31 393,11 060,11 327,10 384,9 441,12 822,16 203,17 338
   Malaysia*,695 920,937 368,1 463 598,1 918 504,2 417 395,3 280 681,3 476 560,405 808,534 964,822 679,1 133 541,1 469 977,1 996 220,2 156 265,290 112,402 404,640 919,784 963,947 418,1 284 461,1 320 295
   Myanmar,133 545,113 663,98 011,83 025,76 414,73 309,76 446,72 310,61 489,52 150,44 506,41 574,40 178,41 898,61 235,52 174,45 861,38 519,34 840,33 131,34 548
   Philippines,154 071,207 345,318 095,257 468,208 599,211 862,225 525,81 347,107 524,161 904,133 023,107 933,109 783,117 105,72 724,99 821,156 191,124 445,100 666,102 079,108 420
   Singapore,727 262,991 492,1 351 691,1 710 594,2 164 794,2 483 405,2 523 648,345 842,456 411,601 671,758 762,956 856,1 096 394,1 112 517,381 420,535 081,750 020,951 832,1 207 938,1 387 011,1 411 131
   Thailand,528 693,809 720,1 257 821,2 195 610,3 234 381,3 470 220,3 632 496,283 486,426 290,647 728,1 102 248,1 629 881,1 742 708,1 821 857,245 207,383 430,610 093,1 093 362,1 604 500,1 727 512,1 810 639
   Timor-Leste,8 954,9 743,10 602,11 286,11 540,8 520,8 399,4 450,4 763,5 095,5 578,5 837,5 148,5 076,4 504,4 980,5 507,5 708,5 703,3 372,3 323
   Viet Nam,28 118,51 262,56 754,51 768,61 756,72 793,76 767,15 230,28 187,32 825,31 106,35 971,42 168,44 471,12 888,23 075,23 929,20 662,25 785,30 625,32 296
   Afghanistan,57 686,71 522,75 917,87 314,102 276,339 432,144 098,32 558,39 105,42 848,49 281,57 726,171 550,69 189,25 128,32 417,33 069,38 033,44 550,167 882,74 909
   Bangladesh,881 617,934 735,987 853,1 062 270,1 345 546,1 422 179,2 115 408,476 097,503 989,531 907,572 146,710 548,751 741,1 093 978,405 520,430 746,455 946,490 124,634 998,670 438,1 021 430
   Bhutan,23 807,27 972,32 137,40 279,48 420,51 106,53 612,19 409,22 804,26 200,32 742,39 283,43 396,45 524,4 398,5 168,5 937,7 537,9 137,7 710,8 088
   India,7 594 801,6 952 238,6 411 331,5 936 740,5 574 018,5 210 847,4 878 704,3 967 470,3 608 978,3 303 591,2 931 489,2 699 495,2 474 515,2 273 912,3 627 331,3 343 260,3 107 740,3 005 251,2 874 523,2 736 332,2 604 792
   Iran (Islamic Republic of),4 291 601,2 937 668,2 476 469,2 552 206,2 722 397,2 729 939,2 797 235,2 369 093,1 612 428,1 365 390,1 401 736,1 490 419,1 487 403,1 517 518,1 922 508,1 325 240,1 111 079,1 150 470,1 231 978,1 242 536,1 279 717
   Maldives,8 689,18 510,27 092,45 045,54 659,64 273,70 079,4 777,9 243,14 907,27 079,41 712,56 345,61 437,3 912,9 267,12 185,17 966,12 947,7 928,8 642
   Nepal,429 974,690 225,717 900,680 729,581 889,509 471,487 564,125 966,217 088,241 959,235 852,191 167,156 361,146 930,304 008,473 137,475 941,444 877,390 722,353 110,340 634
   Pakistan,6 208 204,3 669 308,4 181 912,3 174 558,3 943 681,3 506 520,3 276 580,3 264 380,1 951 223,2 249 960,1 710 343,2 075 512,1 845 470,1 812 804,2 943 824,1 718 085,1 931 952,1 464 215,1 868 169,1 661 050,1 463 776
   Sri Lanka,41 561,40 841,40 132,39 526,38 959,39 706,40 254,23 423,22 689,21 971,21 318,20 694,20 745,21 196,18 138,18 152,18 161,18 208,18 265,18 961,19 058
   Armenia,658 789,693 999,657 900,469 189,211 147,191 199,190 349,270 535,284 995,270 170,191 432,85 669,77 436,78 085,388 254,409 004,387 730,277 757,125 478,113 763,112 264
   Azerbaijan*,360 600,344 070,327 540,301 834,276 901,264 359,252 228,157 856,149 509,141 161,135 143,129 512,126 656,121 007,202 744,194 561,186 379,166 691,147 389,137 703,131 221
   Bahrain,173 212,205 979,239 361,404 018,666 406,722 487,936 094,122 730,144 227,165 344,288 614,481 344,529 546,694 238,50 482,61 752,74 017,115 404,185 062,192 941,241 856
   Cyprus*,43 805,61 941,80 076,122 849,188 472,176 693,190 366,20 463,27 604,34 745,53 532,82 477,77 357,85 679,23 342,34 337,45 331,69 317,105 995,99 336,104 687
   Georgia*,304 470,152 235,76 117,71 296,73 078,76 685,79 368,133 285,66 643,33 321,31 215,31 993,33 570,34 879,171 185,85 592,42 796,40 081,41 085,43 115,44 489
   Iraq,83 638,199 460,210 525,134 863,120 466,359 352,365 766,55 751,114 821,120 464,81 877,74 535,209 217,201 427,27 887,84 639,90 061,52 986,45 931,150 135,164 339
   Israel,1 632 704,1 792 185,1 851 309,1 889 503,1 956 190,2 011 727,1 953 575,770 777,830 330,853 712,867 805,892 887,912 899,886 517,861 927,961 855,997 597,1 021 698,1 063 303,1 098 828,1 067 058
   Jordan,1 146 349,1 537 097,1 927 845,2 198 740,2 786 853,3 166 961,3 457 691,586 473,784 725,982 977,1 119 171,1 416 784,1 594 808,1 756 637,559 876,752 372,944 868,1 079 569,1 370 069,1 572 153,1 701 054
   Kuwait,1 074 391,921 954,1 127 640,1 333 530,1 874 812,2 866 136,3 110 159,654 878,591 452,761 512,918 718,1 312 111,1 901 855,2 063 430,419 513,330 502,366 128,414 812,562 701,964 281,1 046 729
   Lebanon,523 693,608 303,692 913,742 243,793 191,1 916 259,1 712 762,267 922,310 613,353 305,382 830,413 057,921 661,839 706,255 771,297 690,339 608,359 413,380 134,994 598,873 056
   Oman,304 000,539 643,623 608,666 164,816 234,1 856 226,2 372 836,242 477,417 444,488 389,527 845,658 753,1 552 000,1 984 025,61 523,122 199,135 219,138 319,157 481,304 226,388 811
   Qatar,309 753,361 673,359 697,646 026,1 456 413,1 687 640,2 226 192,225 932,269 972,274 242,498 428,1 206 571,1 416 361,1 842 785,83 821,91 701,85 455,147 598,249 842,271 279,383 407
   Saudi Arabia,4 998 445,5 122 702,5 263 387,6 501 819,8 429 956,10 771 366,13 454 842,3 324 873,3 416 485,3 517 768,4 469 805,5 933 281,7 461 502,9 235 130,1 673 572,1 706 217,1 745 619,2 032 014,2 496 675,3 309 864,4 219 712
   State of Palestine*,288 332,281 767,275 202,274 520,273 840,273 163,272 784,132 101,128 328,124 555,124 608,124 660,124 710,124 737,156 231,153 439,150 647,149 912,149 180,148 453,148 047
   Syrian Arab Republic,714 140,830 610,834 916,882 398,1 783 595,835 716,868 711,364 077,423 115,427 981,452 524,910 982,426 967,432 279,350 063,407 495,406 935,429 874,872 613,408 749,436 432
   Turkey,1 163 686,1 216 173,1 280 963,1 324 108,1 373 749,4 346 197,6 052 652,577 329,593 938,616 007,621 694,629 868,2 390 166,3 124 165,586 357,622 235,664 956,702 414,743 881,1 956 031,2 928 487
   United Arab Emirates,1 306 574,1 824 118,2 447 010,3 281 115,7 316 697,7 995 126,8 716 332,931 959,1 309 868,1 757 200,2 388 299,5 463 446,5 890 170,6 419 792,374 615,514 250,689 810,892 816,1 853 251,2 104 956,2 296 540
   Yemen,118 863,136 515,144 940,171 871,288 394,379 882,387 113,67 010,77 832,80 514,98 879,156 123,199 390,223 512,51 853,58 683,64 426,72 992,132 271,180 492,163 601
   Belarus,1 248 977,1 186 282,1 123 586,1 106 982,1 090 378,1 082 905,1 067 090,572 021,543 307,514 593,506 988,499 384,495 961,488 713,676 956,642 975,608 993,599 994,590 994,586 944,578 377
   Bulgaria,21 510,32 435,43 360,61 074,76 287,123 803,184 363,9 047,13 642,18 238,26 594,33 841,60 058,91 585,12 463,18 793,25 122,34 480,42 446,63 745,92 778
   Czechia,110 394,165 592,220 789,322 540,398 493,416 454,540 921,57 405,88 316,119 227,181 719,236 160,239 228,312 941,52 989,77 276,101 562,140 821,162 333,177 226,227 980
   Hungary,347 510,322 234,296 957,366 787,436 616,475 508,584 567,156 185,147 202,138 219,174 216,210 212,235 719,303 065,191 325,175 032,158 738,192 571,226 404,239 789,281 502
   Poland,1 127 771,964 725,825 251,722 509,642 417,611 855,817 254,482 176,404 049,338 323,297 039,262 263,256 623,390 449,645 595,560 676,486 928,425 470,380 154,355 232,426 805
   Republic of Moldova*,544 162,367 231,247 828,171 122,129 488,106 374,104 438,238 053,155 297,101 097,67 924,52 198,43 467,42 743,306 109,211 934,146 731,103 198,77 290,62 907,61 695
   Romania,135 825,135 037,134 254,145 162,177 211,281 048,705 310,57 601,60 443,63 121,70 153,87 667,146 758,386 946,78 224,74 594,71 133,75 009,89 544,134 290,318 364
   Russian Federation,11 524 948,11 928 927,11 900 297,11 667 588,11 194 710,11 643 276,11 636 911,5 655 422,5 925 452,5 982 851,5 806 597,5 514 401,5 715 211,5 712 089,5 869 526,6 003 475,5 917 446,5 860 991,5 680 309,5 928 065,5 924 822
   Slovakia,41 295,69 323,116 376,130 491,146 319,177 624,197 161,18 187,30 531,51 253,58 716,66 938,89 011,100 551,23 108,38 792,65 123,71 775,79 381,88 613,96 610
   Ukraine*,6 892 920,6 172 338,5 527 087,5 050 302,4 818 767,4 915 142,4 997 387,2 953 603,2 644 845,2 368 364,2 168 060,2 072 474,2 113 924,2 149 298,3 939 317,3 527 493,3 158 723,2 882 242,2 746 293,2 801 218,2 848 089
